KodeNegara,Year,GDP,Growth
THA,2021,1349416000000.0,0.015
THA,2022,1480690000000.0,0.025
THA,2023,1563385000000.0,0.019
THA,2024,1644322000000.0,0.027
TJK,2020,36723000000.0,0.044
TJK,2021,42017000000.0,0.094
TJK,2022,48573000000.0,0.08
TJK,2023,54497000000.0,0.083
TJK,2024,59415000000.0,0.065
TTO,2020,37425000000.0,-0.091
TTO,2021,38735000000.0,-0.01
TTO,2022,42077000000.0,0.015
TTO,2023,44528000000.0,0.021
TTO,2024,46679000000.0,0.024
TUN,2020,128995000000.0,-0.086
TUN,2021,141122000000.0,0.046
TUN,2022,154991000000.0,0.026
TUN,2023,161322000000.0,0.004
TUN,2024,168315000000.0,0.019
TUV,2020,51000000.0,-0.043
TUV,2021,54000000.0,0.018
TUV,2022,58000000.0,0.0069999999999999
TUV,2023,62000000.0,0.039
TUV,2024,66000000.0,0.035
UGA,2020,106268000000.0,-0.011
UGA,2021,117237000000.0,0.055
UGA,2022,133398000000.0,0.063
UGA,2023,144850000000.0,0.048
UGA,2024,156696000000.0,0.0559999999999999
UKR,2020,546151000000.0,-0.038
UKR,2021,590874000000.0,0.034
UKR,2022,448556000000.0,-0.291
UKR,2023,488164000000.0,0.05
UKR,2024,515947000000.0,0.032
URY,2020,78965000000.0,-0.074
URY,2021,87179000000.0,0.0559999999999999
URY,2022,97709000000.0,0.047
URY,2023,101643000000.0,0.004
URY,2024,107946000000.0,0.037
UZB,2020,267228000000.0,0.02
UZB,2021,300171000000.0,0.074
UZB,2022,339534000000.0,0.057
UZB,2023,372987000000.0,0.06
UZB,2024,401838000000.0,0.052
VCT,2020,1510000000.0,-0.037
VCT,2021,1591000000.0,0.008
VCT,2022,1796000000.0,0.055
VCT,2023,1978000000.0,0.062
VCT,2024,2133000000.0,0.053
VEN,2020,160154000000.0,-0.3
VEN,2021,169172000000.0,0.01
VEN,2022,195570000000.0,0.08
VEN,2023,210806000000.0,0.04
VEN,2024,224526000000.0,0.04
VNM,2020,1064410000000.0,0.0289999999999999
VNM,2021,1141622000000.0,0.026
VNM,2022,1321271000000.0,0.081
VNM,2023,1438541000000.0,0.05
VNM,2024,1558898000000.0,0.0579999999999999
WSM,2020,1195000000.0,-0.031
WSM,2021,1161000000.0,-0.071
WSM,2022,1177000000.0,-0.053
WSM,2023,1317000000.0,0.08
WSM,2024,1421000000.0,0.054
YEM,2020,60023000000.0,-0.085
